fecha,Ruta,OperadOR,ac_type,all_aboard,cantidad de fallecidos,ground
1908-09-17,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2,1,0
1909-09-07,"Juvisy-sur-Orge, France",0,Wright Byplane,1,1,0
1912-07-12,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,5,0
1913-08-06,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,1,0
1913-09-09,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),20,14,0
1913-10-17,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),28,28,0
1915-03-05,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41,17,0
1915-09-03,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19,19,0
1916-07-28,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20,20,0
1916-09-24,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22,22,0
1916-10-01,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,19,0
1916-11-21,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),28,27,0
1916-11-28,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20,20,0
1917-03-04,"Near Gent, Belgium",Military - German Army,Airship,20,20,0
1917-03-30,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23,23,0
1917-05-14,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21,21,0
1917-06-14,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24,24,0
1917-06-17,"Near Yarmouth, England",0,Zepplin L-48 (air ship),16,14,0
1917-08-21,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18,18,0
1917-10-20,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18,18,0
1918-04-07,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23,23,0
1918-08-05,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),22,22,0
1918-08-11,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19,19,0
1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1,0
1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
1919-07-21,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,FD Type Dirigible,0,3,10
1919-08-02,"Verona, Italy",Caproni Company,Caproni Ca.48,14,14,0
1919-10-02,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,1,0
1919-10-14,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,1,0
1919-10-20,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,0,0,0
